epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2771.32,1.37683,0.843,1.26591,0.84821,0.77338,0.81453,0.38431,1.93209,0.90062,1.59373,0.00116461,0.00116461,0.00116461
71,2809.2,1.38199,0.88183,1.28793,0.83949,0.7276,0.79312,0.38882,1.86274,0.97397,1.594,0.00116337,0.00116337,0.00116337
72,2847.3,1.33026,0.83137,1.24839,0.84287,0.76526,0.82173,0.4053,1.82315,0.88868,1.52562,0.00116214,0.00116214,0.00116214
73,2886.55,1.3401,0.83447,1.26385,0.90479,0.72639,0.80846,0.39995,1.85016,0.92293,1.56263,0.0011609,0.0011609,0.0011609
74,2926.45,1.37234,0.82925,1.25266,0.80198,0.78218,0.80125,0.38639,1.88494,0.95883,1.57451,0.00115966,0.00115966,0.00115966
75,2964.24,1.33582,0.81999,1.25135,0.87445,0.77161,0.83344,0.40895,1.90624,0.88794,1.5963,0.00115843,0.00115843,0.00115843
76,3004.95,1.36007,0.82701,1.26226,0.86797,0.75797,0.81364,0.39975,1.89438,0.91834,1.58521,0.00115719,0.00115719,0.00115719
77,3046.35,1.33338,0.81663,1.24081,0.88812,0.76234,0.81757,0.38983,1.84035,0.94602,1.57748,0.00115595,0.00115595,0.00115595
78,3085.44,1.29593,0.79953,1.2201,0.85983,0.75822,0.79952,0.39937,1.86269,0.91592,1.55823,0.00115471,0.00115471,0.00115471
79,3124.06,1.30547,0.79238,1.22099,0.85174,0.75968,0.80179,0.40933,1.8562,0.86944,1.57768,0.00115348,0.00115348,0.00115348
80,3162.52,1.30103,0.79288,1.22395,0.8482,0.74773,0.7954,0.39935,1.85595,0.88619,1.66817,0.00115224,0.00115224,0.00115224
81,3201.07,1.30721,0.77603,1.22507,0.923,0.75014,0.82903,0.3978,1.87647,0.92353,1.61498,0.001151,0.001151,0.001151
82,3238.87,1.28464,0.76387,1.21313,0.89485,0.75146,0.80184,0.40369,1.99298,0.92515,1.69602,0.00114976,0.00114976,0.00114976
83,3277.61,1.29054,0.78817,1.23436,0.8842,0.77315,0.82922,0.38725,1.94422,0.94218,1.64499,0.00114853,0.00114853,0.00114853
84,3314.46,1.28961,0.80089,1.23182,0.87431,0.75099,0.80263,0.37547,1.97246,0.92123,1.64465,0.00114729,0.00114729,0.00114729
85,3353,1.3026,0.80251,1.24603,0.89295,0.77182,0.82643,0.39931,1.93833,0.90603,1.66158,0.00114605,0.00114605,0.00114605
86,3389.62,1.30297,0.78027,1.20494,0.85669,0.74144,0.79176,0.40708,1.92812,0.92402,1.66964,0.00114481,0.00114481,0.00114481
87,3430.03,1.29541,0.79268,1.23653,0.84706,0.78188,0.82038,0.36965,1.92138,0.93613,1.65782,0.00114357,0.00114357,0.00114357
88,3468.03,1.31323,0.77818,1.23531,0.84809,0.80333,0.82767,0.4221,1.83872,0.87077,1.61831,0.00114234,0.00114234,0.00114234
89,3507.21,1.27828,0.75935,1.21132,0.87648,0.79112,0.82261,0.40789,1.90242,0.88304,1.61273,0.0011411,0.0011411,0.0011411
90,3545.69,1.29945,0.75748,1.22581,0.91128,0.77938,0.85593,0.41956,1.88341,0.86421,1.65335,0.00113986,0.00113986,0.00113986
91,3584.99,1.27645,0.77827,1.2279,0.85954,0.76806,0.81677,0.41625,1.80891,0.90357,1.5683,0.00113863,0.00113863,0.00113863
92,3624.74,1.25076,0.74163,1.1855,0.86052,0.79639,0.84184,0.41212,1.86512,0.92715,1.63401,0.00113739,0.00113739,0.00113739
93,3665.78,1.27718,0.76089,1.19917,0.85581,0.75768,0.81222,0.39497,1.89142,0.90147,1.63831,0.00113615,0.00113615,0.00113615
94,3703.88,1.26221,0.76349,1.19625,0.85483,0.75971,0.80388,0.38764,1.9063,0.89575,1.65045,0.00113491,0.00113491,0.00113491
95,3739.85,1.24653,0.73582,1.18918,0.90795,0.76844,0.82783,0.40368,1.82624,0.83753,1.63555,0.00113368,0.00113368,0.00113368
96,3780.25,1.24045,0.73811,1.1999,0.85527,0.79274,0.81424,0.39349,1.90692,0.89629,1.67643,0.00113244,0.00113244,0.00113244
97,3821.13,1.20346,0.71034,1.17618,0.88001,0.80109,0.84281,0.40938,1.93118,0.87074,1.69562,0.0011312,0.0011312,0.0011312
98,3858.69,1.26465,0.74864,1.20349,0.87153,0.80246,0.82098,0.41021,1.89425,0.86746,1.62651,0.00112996,0.00112996,0.00112996
99,3896.19,1.25539,0.74347,1.18668,0.84238,0.82037,0.82631,0.39621,1.91427,0.869,1.60612,0.00112873,0.00112873,0.00112873
100,3935.52,1.2385,0.73326,1.18023,0.86284,0.77924,0.83576,0.41384,1.92341,0.87322,1.62445,0.00112749,0.00112749,0.00112749
101,3972.4,1.2517,0.728,1.17901,0.89307,0.79491,0.84846,0.42068,1.88204,0.84589,1.59394,0.00112625,0.00112625,0.00112625
102,4013.08,1.19948,0.71091,1.17745,0.8506,0.77939,0.81252,0.40621,2.01607,0.8707,1.71746,0.00112501,0.00112501,0.00112501
103,4053.84,1.1943,0.70684,1.15221,0.85573,0.78947,0.82024,0.42794,1.93541,0.83652,1.68124,0.00112378,0.00112378,0.00112378
104,4091.71,1.19307,0.70695,1.15001,0.86982,0.78154,0.81343,0.41465,1.9291,0.96575,1.62856,0.00112254,0.00112254,0.00112254
105,4129.36,1.1806,0.70333,1.16288,0.85377,0.82491,0.83293,0.41815,1.89721,0.85593,1.68011,0.0011213,0.0011213,0.0011213
106,4170.2,1.19653,0.69843,1.15568,0.89542,0.79696,0.83617,0.41291,1.83768,0.84736,1.62121,0.00112006,0.00112006,0.00112006
107,4208.72,1.22787,0.73634,1.18731,0.89797,0.79335,0.85122,0.40244,1.85101,0.82745,1.62785,0.00111882,0.00111882,0.00111882
108,4249.56,1.16067,0.67748,1.15612,0.90127,0.81012,0.84861,0.39686,1.85333,0.8133,1.62542,0.00111759,0.00111759,0.00111759
109,4289.83,1.17517,0.68999,1.15153,0.82876,0.78344,0.80295,0.39454,1.94828,0.86904,1.69505,0.00111635,0.00111635,0.00111635
110,4328.61,1.1632,0.66916,1.13229,0.85232,0.78982,0.80706,0.3968,1.90913,0.89125,1.68726,0.00111511,0.00111511,0.00111511
111,4367.52,1.16964,0.69877,1.1573,0.86729,0.78652,0.80739,0.40937,1.88884,0.90867,1.6664,0.00111388,0.00111388,0.00111388
112,4409.9,1.14035,0.66966,1.12649,0.85265,0.78109,0.80125,0.42471,1.89208,0.86371,1.65481,0.00111264,0.00111264,0.00111264
113,4450.89,1.14665,0.67767,1.13973,0.89038,0.78063,0.83346,0.41604,1.91247,0.90005,1.69297,0.0011114,0.0011114,0.0011114
114,4490.35,1.15766,0.66556,1.13414,0.87896,0.79262,0.84467,0.4183,1.88577,0.84398,1.67786,0.00111016,0.00111016,0.00111016
115,4529.28,1.16565,0.66619,1.13635,0.83658,0.76407,0.80856,0.40647,1.86481,0.88578,1.65565,0.00110892,0.00110892,0.00110892
116,4570.63,1.16663,0.68036,1.14596,0.86775,0.82153,0.82412,0.41328,1.89524,0.92865,1.69179,0.00110769,0.00110769,0.00110769
117,4610.93,1.13906,0.66726,1.13255,0.84341,0.78003,0.8055,0.38071,1.98366,0.91652,1.79488,0.00110645,0.00110645,0.00110645
118,4651.93,1.13134,0.67173,1.125,0.88823,0.78364,0.82966,0.40243,1.89177,0.95928,1.7179,0.00110521,0.00110521,0.00110521
119,4691.06,1.13181,0.66805,1.12469,0.82642,0.80866,0.85729,0.41572,1.88707,0.90557,1.6417,0.00110397,0.00110397,0.00110397
120,4728.45,1.11681,0.66052,1.12239,0.86523,0.80798,0.8505,0.4424,1.84391,0.85789,1.61924,0.00110274,0.00110274,0.00110274
121,4769.16,1.10992,0.64651,1.11654,0.89138,0.81781,0.85225,0.43127,1.86531,0.91174,1.63277,0.0011015,0.0011015,0.0011015
122,4806.1,1.1327,0.6714,1.13797,0.89997,0.81412,0.83969,0.41387,1.85987,0.86649,1.62355,0.00110026,0.00110026,0.00110026
123,4843.1,1.12499,0.65698,1.13591,0.90262,0.79168,0.84975,0.40301,1.85677,0.83311,1.60219,0.00109903,0.00109903,0.00109903
124,4884.69,1.12465,0.66494,1.1334,0.88505,0.77805,0.84093,0.4136,1.85611,0.91578,1.59571,0.00109779,0.00109779,0.00109779
125,4923.51,1.14128,0.66754,1.13268,0.88827,0.78828,0.85893,0.41587,1.89574,0.93336,1.64704,0.00109655,0.00109655,0.00109655
126,4963.31,1.06715,0.62211,1.09097,0.88043,0.80663,0.84619,0.41977,1.93989,0.87543,1.69911,0.00109531,0.00109531,0.00109531
127,5005.15,1.11019,0.65675,1.11552,0.89608,0.80169,0.84823,0.41385,1.86229,0.8056,1.60831,0.00109408,0.00109408,0.00109408
128,5042.99,1.12795,0.6728,1.12011,0.88066,0.79236,0.81064,0.38119,1.88613,0.84275,1.64674,0.00109284,0.00109284,0.00109284
129,5084.68,1.10328,0.65641,1.10557,0.89501,0.78425,0.83024,0.41091,1.92003,0.8033,1.68749,0.0010916,0.0010916,0.0010916
130,5128.33,1.09061,0.63811,1.09603,0.8658,0.8129,0.84134,0.41641,1.88526,0.88357,1.64763,0.00109036,0.00109036,0.00109036
131,5167.82,1.11082,0.63698,1.11327,0.88197,0.81992,0.84454,0.42666,1.87282,0.81554,1.65685,0.00108913,0.00108913,0.00108913
132,5208.72,1.09039,0.6499,1.11565,0.85895,0.79948,0.83534,0.41028,1.89974,0.82742,1.67194,0.00108789,0.00108789,0.00108789
133,5245.64,1.09075,0.6358,1.09997,0.89516,0.75561,0.82424,0.42241,1.8474,0.83193,1.60588,0.00108665,0.00108665,0.00108665
134,5285.7,1.07902,0.62796,1.11292,0.89048,0.79329,0.83202,0.42953,1.81375,0.87042,1.57499,0.00108541,0.00108541,0.00108541
135,5327.67,1.10612,0.64121,1.10496,0.91778,0.80623,0.83517,0.42183,1.83162,0.85846,1.66968,0.00108417,0.00108417,0.00108417
136,5366.9,1.09503,0.64862,1.11281,0.86518,0.78548,0.8398,0.41061,1.81828,0.83168,1.61671,0.00108294,0.00108294,0.00108294
137,5406.67,1.09627,0.64068,1.1009,0.86182,0.78286,0.8338,0.41975,1.77577,0.85182,1.55389,0.0010817,0.0010817,0.0010817
138,5444.53,1.09397,0.64432,1.10303,0.88162,0.77431,0.81427,0.41299,1.84371,0.86109,1.60236,0.00108046,0.00108046,0.00108046
139,5481.82,1.10986,0.63694,1.10154,0.87798,0.76055,0.81427,0.40876,1.86054,0.87753,1.61347,0.00107923,0.00107923,0.00107923
140,5522.14,1.11292,0.64646,1.11266,0.90707,0.76505,0.82146,0.40007,1.85791,0.85326,1.62095,0.00107799,0.00107799,0.00107799
141,5561.73,1.08553,0.63624,1.11194,0.86012,0.77761,0.8287,0.40398,1.81454,0.87258,1.61412,0.00107675,0.00107675,0.00107675
142,5600.07,1.05841,0.61023,1.09125,0.87132,0.81272,0.83046,0.40581,1.81574,0.84598,1.62019,0.00107551,0.00107551,0.00107551
143,5639.78,1.08193,0.63472,1.1038,0.91329,0.79809,0.85357,0.41633,1.89817,0.85947,1.61651,0.00107427,0.00107427,0.00107427
144,5680.79,1.08181,0.63486,1.08965,0.87262,0.79684,0.82288,0.41491,1.91236,0.87886,1.6229,0.00107304,0.00107304,0.00107304
145,5721.59,1.02905,0.60228,1.07092,0.88305,0.80062,0.84852,0.42075,1.89256,0.88652,1.63528,0.0010718,0.0010718,0.0010718
146,5759.63,1.03961,0.60456,1.06733,0.85506,0.80512,0.83633,0.40974,1.9374,0.91316,1.71586,0.00107056,0.00107056,0.00107056
147,5796.54,1.06346,0.61812,1.09192,0.86382,0.79375,0.83303,0.403,1.92488,0.92855,1.69594,0.00106933,0.00106933,0.00106933
148,5836.56,1.05827,0.61326,1.09225,0.88769,0.7901,0.83023,0.40883,1.88734,0.88171,1.66069,0.00106809,0.00106809,0.00106809
149,5876.56,1.0251,0.60311,1.07468,0.87997,0.77996,0.83754,0.41332,1.89605,0.8648,1.66286,0.00106685,0.00106685,0.00106685
150,5917.8,1.08215,0.62616,1.09732,0.8727,0.81357,0.84521,0.42723,1.84185,0.87906,1.63663,0.00106561,0.00106561,0.00106561
151,5957.46,1.01199,0.60395,1.06618,0.91594,0.80486,0.85108,0.4289,1.84255,0.81217,1.60722,0.00106437,0.00106437,0.00106437
152,5998.21,1.03982,0.60306,1.05452,0.89787,0.78158,0.83343,0.42754,1.84067,0.82078,1.61291,0.00106314,0.00106314,0.00106314
153,6038.83,1.07874,0.62219,1.09923,0.90589,0.76266,0.81026,0.40911,1.84734,0.84742,1.59462,0.0010619,0.0010619,0.0010619
154,6077.17,1.03203,0.60385,1.05694,0.89252,0.79481,0.83376,0.4227,1.82805,0.85381,1.59897,0.00106066,0.00106066,0.00106066
155,6118.16,0.99667,0.59894,1.05212,0.8936,0.78819,0.8378,0.4208,1.8535,0.87415,1.65356,0.00105942,0.00105942,0.00105942
156,6159.06,1.02324,0.59594,1.06111,0.92134,0.80504,0.8554,0.41709,1.82664,0.80263,1.65195,0.00105819,0.00105819,0.00105819
157,6199.8,0.99444,0.59311,1.0618,0.9013,0.79359,0.85736,0.41852,1.91683,0.78665,1.68777,0.00105695,0.00105695,0.00105695
158,6238.36,1.01356,0.60056,1.05188,0.88582,0.77554,0.83921,0.41745,1.87509,0.84916,1.63842,0.00105571,0.00105571,0.00105571
